Address,Link,Bedrooms,Bathrooms,Parking,Area,Type,Suburb,Scraped Date,Days on Market,Asking Price
"16/181 Oxford Street, Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-leederville-149199124,1,1,1,0,1,perth,2025-10-01,,400000
"30/124 Terrace Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-studio-wa-perth-149154320,1,1,0,33,1,perth,2025-10-01,,315000
"13/34 East Parade, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149188060,1,1,1,0,1,perth,2025-10-01,,500
"704/237 Adelaide Terrace, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149184044,1,1,1,63,1,perth,2025-10-01,,499000
"Address available on request, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-east+perth-146095828,1,1,1,40,1,perth,2025-10-01,,0
"I11/125 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-wembley-148662272,2,1,1,59,2,perth,2025-10-01,,0
"13 & 13A/22 Nile Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-145806336,2,2,1,0,2,perth,2025-10-01,,549000
"9/118 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149170596,2,2,1,92,2,perth,2025-10-01,,500000600000
"507/201 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148054708,2,1,0,82,2,perth,2025-10-01,,370000
"45/1 Sheen Street, Subiaco",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-subiaco-149169068,1,1,1,51,1,perth,2025-10-01,,525000
"19/1-5 Fitzory Road, Rivervale",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-rivervale-148409516,2,1,1,103,2,perth,2025-10-01,,0
"212/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148640260,1,1,0,0,1,perth,2025-10-01,,269000
"47/11 Herdsman Parade, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-townhouse-wa-wembley-149163236,2,1,1,0,2,perth,2025-10-01,,0
"20/240 Mill Point Rd, South Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-south+perth-149037100,2,1,1,71,2,perth,2025-10-01,,470000
