Address,Link,Bedrooms,Bathrooms,Parking,Area,Type
"218/2 Thorburn Way, Shenton Park",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-shenton+park-148998652,1 bedroom,1 bathroom,1 car space,,1
"71/193 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-148996076,2 bedrooms,1 bathroom,1 car space,71m² building size,2
"303/30 Hood Street, Subiaco",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-subiaco-149131364,1 bedroom,1 bathroom,1 car space,53m² building size,1
"9/71 Parry Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149129212,1 bedroom,1 bathroom,1 car space,66m² building size,1
"8/123C Colin St, West Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-west+perth-149124472,1 bedroom,1 bathroom,1 car space,70m² building size,1
"30/188 Newcastle Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149122256,2 bedrooms,2 bathrooms,1 car space,82m² building size,2
"20/12 River View Street, South Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-south+perth-149120980,1 bedroom,1 bathroom,1 car space,43m² building size,1
"5/177 Palmerston Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149120288,1 bedroom,1 bathroom,,47m² building size,1
"14/101 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-149120252,1 bedroom,1 bathroom,1 car space,46m² building size,1
"38/273 Hay Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149113232,2 bedrooms,1 bathroom,1 car space,79m² building size,2
"506/8 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-139454307,,1 bathroom,1 car space,,1
"61/188 Adelaide Terrace, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-east+perth-149112316,2 bedrooms,2 bathrooms,1 car space,116m² building size,2
"617/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148484056,1 bedroom,1 bathroom,,40m² building size,1
"206/451 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148727584,2 bedrooms,1 bathroom,,,2
"12/124 Subiaco Road, Subiaco",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-subiaco-149102572,1 bedroom,1 bathroom,1 car space,40m² building size,1
"506/60 Riversdale Road, Rivervale",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-rivervale-149105552,1 bedroom,1 bathroom,1 car space,,1
"715/305 Murray Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148345360,1 bedroom,1 bathroom,,,1
"Address available on request, Rivervale",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-rivervale-147853616,1 bedroom,1 bathroom,1 car space,,1
"20/118 Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148712744,2 bedrooms,1 bathroom,1 car space,84m² building size,2
"5/60 Newcastle Street, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148706512,1 bedroom,1 bathroom,1 car space,,1
"2/35 Wellington Street, East Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-east+perth-148959984,1 bedroom,1 bathroom,1 car space,52m² building size,1
"Address available on request, Rivervale",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-rivervale-147964316,1 bedroom,1 bathroom,1 car space,,1
"21/26 Stanley Street, Mount Lawley",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-mount+lawley-148813012,2 bedrooms,1 bathroom,1 car space,63m² building size,2
"2018/380 MURRAY STREET, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-148946932,1 bedroom,1 bathroom,,,1
"33/40 Cambridge St, West Leederville",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-west+leederville-149085028,1 bedroom,1 bathroom,1 car space,,1
